Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Research on multi-UAV autonomous obstacle avoidance algorithm integrating improved dynamic window approach and ORCA,Scientific Reports,,,,10.1038/s41598-025-99111-8,Xucheng ChangJingyu WangKang LiXinhui ZhangQian Tang,2025,https://link.springer.com/article/10.1038/s41598-025-99111-8,Article
The Essential Role of Cybersecurity in UAV Swarm Operations,Unmanned Aerial Vehicles Swarm for Protecting Smart Cities,,,,10.1007/979-8-8688-1047-3_11,Fida Muhammad KhanTaj RahmanAsim ZebInam UllahInayat KhanMuhammad Shoaib Akhter,2025,https://link.springer.com/chapter/10.1007/979-8-8688-1047-3_11,Chapter
UAV Smart Navigation: Combining Delaunay Triangulation and&#xa0;the&#xa0;Bat Algorithm for&#xa0;Enhanced Efficiency,Mining Intelligence and Knowledge Exploration,,,,10.1007/978-3-031-44084-7_17,Akshya JothiM. SundarrajanR. GayanaSeifedine Kadry,2023,https://link.springer.com/chapter/10.1007/978-3-031-44084-7_17,Conference paper
Motion planning system for unmanned aerial vehicles in dynamic three-dimensional space: a&#xa0;machine learning approach,Neural Computing and Applications,,,,10.1007/s00521-024-10784-0,Mohammad H. GaribehSameer Al-DahidiMohammad HayajnehMohammad A. JaradatAhmad Alshorman,2024,https://link.springer.com/article/10.1007/s00521-024-10784-0,Article
Heterogeneous Multi-UAV Ad-Hoc Networks for Surveillance and Wireless Coverage in Challenging Terrain to Enhance Disaster Missions,SN Computer Science,,,,10.1007/s42979-024-03144-1,Indu ChandranR. GopikaK. P. Anagha RajendranVipin Kizheppatt,2024,https://link.springer.com/article/10.1007/s42979-024-03144-1,Article
A Review on&#xa0;Cooperative Payload Transportation Using Quadrotor Drones,Proceedings of Third International Symposium on Sustainable Energy and Technological Advancements,,,,10.1007/978-981-97-6976-6_27,Muhammad Aiman Haqiemi Mohd ShaipulKishore BingiB. Rajanarayan PrustyNeeraj Gupta,2024,https://link.springer.com/chapter/10.1007/978-981-97-6976-6_27,Conference paper
Generating Critical Nodes for Sub-path Planning with a Deep Neural Network Based on Resnet50,Proceedings of 2022 International Conference on Autonomous Unmanned Systems (ICAUS 2022),,,,10.1007/978-981-99-0479-2_74,Fei ZouShengde JiaTianqing LiuChang WangYifeng Niu,2023,https://link.springer.com/chapter/10.1007/978-981-99-0479-2_74,Conference paper
Improving time and energy efficiency in multi-UAV coverage operations by optimizing the UAVs’ initial positions,International Journal of Intelligent Robotics and Applications,,,,10.1007/s41315-024-00333-2,Aliki StefanopoulouEmmanuel K. RaptisSavvas D. ApostolidisSocratis GkeliosAthanasios Ch. KapoutsisSavvas A. ChatzichristofisStefanos VrochidisElias B. Kosmatopoulos,2024,https://link.springer.com/article/10.1007/s41315-024-00333-2,Article
A synthesis of machine learning and internet of things in developing autonomous fleets of heterogeneous unmanned aerial vehicles for enhancing the regenerative farming cycle,Computing,,,,10.1007/s00607-024-01347-1,Faris A. AlmalkiMarios C. Angelides,2024,https://link.springer.com/article/10.1007/s00607-024-01347-1,Article
A Pragmatic Review of QoS Optimisations in IoT Driven Networks,Wireless Personal Communications,,,,10.1007/s11277-024-11412-9,Satyabrat SahooSatya Prakash SahooManas Ranjan Kabat,2024,https://link.springer.com/article/10.1007/s11277-024-11412-9,Article
"Robot motion planning: methods, challenges, and future directions",International Journal of Intelligent Robotics and Applications,,,,10.1007/s41315-025-00455-1,Vivek GurveSmita MahajanShivali Amit Wagle,2025,https://link.springer.com/article/10.1007/s41315-025-00455-1,Article
Application of Artificial Intelligence in Aerospace Engineering and Its Future Directions: A Systematic Quantitative Literature Review,Archives of Computational Methods in Engineering,,,,10.1007/s11831-024-10105-7,Kamal HassanAmit Kumar ThakurGurraj SinghJaspreet SinghLovi Raj GuptaRajesh Singh,2024,https://link.springer.com/article/10.1007/s11831-024-10105-7,Article
Improvement of the consumption energy of quadrotor motors for soft landings on a platform using the Grey Wolf Optimization algorithm in the presence of external disturbance,Spatial Information Research,,,,10.1007/s41324-025-00627-y,Farsimadan AnnaMazinan Amir HooshangSiahi Mehdi,2025,https://link.springer.com/article/10.1007/s41324-025-00627-y,Article
"A comprehensive survey on FANET-IoT-IoV interactions: challenges, opportunities, and future directions in 6G-enabled smart cities",Computing,,,,10.1007/s00607-025-01602-z,Rizwan RazaFarhan Aadil,2025,https://link.springer.com/article/10.1007/s00607-025-01602-z,Article
Efficient path planning for autonomous vehicles based on RRT* with variable probability strategy and artificial potential field approach,Scientific Reports,,,,10.1038/s41598-024-76299-9,Fazhan TaoZhaowei DingZhigao FuMengyang LiBaofeng Ji,2024,https://link.springer.com/article/10.1038/s41598-024-76299-9,Article
Improved chimp optimization algorithm for three-dimensional path planning problem,Multimedia Tools and Applications,,,,10.1007/s11042-022-12882-4,Nating DuYongquan ZhouWu DengQifang Luo,2022,https://link.springer.com/article/10.1007/s11042-022-12882-4,Article
Modeling and simulation of dual-battery FANET system using MADRL for energy optimization,Scientific Reports,,,,10.1038/s41598-025-30429-z,A. Sophia MaryT. S. Pradeep Kumar,2025,https://link.springer.com/article/10.1038/s41598-025-30429-z,Article
Computing paradigms for smart farming in the era of drones: a systematic review,Annals of Telecommunications,,,,10.1007/s12243-023-00997-0,Sourour DhifaouiChiraz HouaidiaLeila Azouz Saidane,2023,https://link.springer.com/article/10.1007/s12243-023-00997-0,Article
White Shark Optimizer and its Applications: A Systematic Review,Archives of Computational Methods in Engineering,,,,10.1007/s11831-025-10469-4,Mohammed A. AwadallahMalik BraikLeen AlAkhrasSofian KassaymehMohammed Azmi Al-Betar,2025,https://link.springer.com/article/10.1007/s11831-025-10469-4,Article
Towards the Achievement of Path Planning with Multi-robot Systems in Dynamic Environments,Journal of Intelligent & Robotic Systems,,,,10.1007/s10846-021-01555-3,G. KyprianouL. DoitsidisS. A. Chatzichristofis,2021,https://link.springer.com/article/10.1007/s10846-021-01555-3,Article
Multi-criteria decision model for multicircular flight control of unmanned aerial vehicles through a hybrid approach,Scientific Reports,,,,10.1038/s41598-025-01508-y,Noorulden BasilHamzah M. MarhoonBayan Mahdi SabbarAbdullah Fadhil MohammedOsamah AlbahriAhmed AlbahriAbdullah AlamoodiIman Mohamad SharafAmare Merfo AmsalMahrous AhmedEnas AliSherif S. M. Ghoneim,2025,https://link.springer.com/article/10.1038/s41598-025-01508-y,Article
UAV Swarm Coordination Based on Intelligent Microservices,Proceedings of the 6th China Aeronautical Science and Technology Conference,,,,10.1007/978-981-99-8864-8_57,Yan ZhaoPengcheng WenLinting BaiBin Wang,2024,https://link.springer.com/chapter/10.1007/978-981-99-8864-8_57,Conference paper
Flight Path Optimization for UAV Bridge Inspection Considering Required Functions of Structural Members by Viewpoint Importance and Verification with 3D Model in Virtual Space,Experimental Vibration Analysis for Civil Engineering Structures,,,,10.1007/978-3-031-96110-6_15,Shunsei SatoMayuko Nishio,2025,https://link.springer.com/chapter/10.1007/978-3-031-96110-6_15,Conference paper
Overview,Optimization Methods for Cooperative Task Allocation Problems in Drone Fleets,,,,10.1007/978-3-032-05813-3_1,He LuoXiaoxuan HuGuoqiang WangYingying Ma,2025,https://link.springer.com/chapter/10.1007/978-3-032-05813-3_1,Chapter
Unlocking the Potential of Machine Learning for Enhanced Security in Drone-Enabled IoT Networks,Machine Learning for Drone-Enabled IoT Networks,,,,10.1007/978-3-031-80961-3_6,M. S. BhargaviP. HemavathiChowdam JaganathKilari Narendra,2025,https://link.springer.com/chapter/10.1007/978-3-031-80961-3_6,Chapter
"An exhaustive review of the metaheuristic algorithms for search and optimization: taxonomy, applications, and open challenges",Artificial Intelligence Review,,,,10.1007/s10462-023-10470-y,Kanchan RajwarKusum DeepSwagatam Das,2023,https://link.springer.com/article/10.1007/s10462-023-10470-y,Article
A Novel Hybrid Discrete Grey Wolf Optimizer Algorithm for Multi-UAV Path Planning,Journal of Intelligent & Robotic Systems,,,,10.1007/s10846-021-01490-3,Gewen HuangYanguang CaiJianqi LiuYuanhang QiXiaozhou Liu,2021,https://link.springer.com/article/10.1007/s10846-021-01490-3,Article
Research Progress of Assisted Pollination Technology,New Technologies Applied in Apple Production,,,,10.1007/978-981-97-7778-5_3,Qu ZhangZhao ZhangXu LiLiling Yang,2024,https://link.springer.com/chapter/10.1007/978-981-97-7778-5_3,Chapter
An Industrial Robot Path Planning Method Based on&#xa0;Improved Whale Optimization Algorithm,"Green, Pervasive, and Cloud Computing",,,,10.1007/978-981-99-9893-7_16,Peixin HuangChen DongZhenyi ChenZihang ZhenLei Jiang,2024,https://link.springer.com/chapter/10.1007/978-981-99-9893-7_16,Conference paper
Robotic vision based obstacle avoidance for navigation of unmanned aerial vehicle using fuzzy rule based optimal deep learning model,Evolutionary Intelligence,,,,10.1007/s12065-023-00881-9,K. N. V. Suresh VarmaS. Lalitha Kumari,2023,https://link.springer.com/article/10.1007/s12065-023-00881-9,Article
UAV path planning method for avoiding restricted areas,Intelligent Service Robotics,,,,10.1007/s11370-021-00386-3,Kwanghoon ChoiJai-Hoon Kim,2021,https://link.springer.com/article/10.1007/s11370-021-00386-3,Article
"Application of Green IoT in Agriculture 4.0 and Beyond: Requirements, Challenges and Research Trends in the Era of 5G, LPWANs and Internet of UAV Things",Wireless Personal Communications,,,,10.1007/s11277-023-10521-1,Parijata MajumdarDiptendu BhattacharyaSanjoy MitraBharat Bhushan,2023,https://link.springer.com/article/10.1007/s11277-023-10521-1,Article
Cooperative Operation Path Planning for Multiple Plant Protection UAVs Based on Bi-level ACO,"Advances in Guidance, Navigation and Control",,,,10.1007/978-981-19-6613-2_239,Quanyou YuZhizheng XuNa Duan,2023,https://link.springer.com/chapter/10.1007/978-981-19-6613-2_239,Conference paper
Trajectory Tracking and Control of Unmanned Aerial Vehicle (UAV): A Particle Swarm Optimization-Based Approach,Artificial Intelligence and Data Science Based R&D Interventions,,,,10.1007/978-981-99-2609-1_8,Shreyansh SharmaAbhinav Kumar SinghOmkar SinghAnjan Kumar Ray,2023,https://link.springer.com/chapter/10.1007/978-981-99-2609-1_8,Conference paper
"Mobility, Traffic Models, and Network Management for Internet of Unmanned Things by Using Artificial Intelligence",Internet of Unmanned Things (IoUT) and Mission-based Networking,,,,10.1007/978-3-031-33494-8_2,Arunima Sharma,2023,https://link.springer.com/chapter/10.1007/978-3-031-33494-8_2,Chapter
Optimal Clustering and Mobile BS Deployment Through Improved PSO,Arabian Journal for Science and Engineering,,,,10.1007/s13369-025-10379-4,Gamil AhmedFarid BinbeshrMaged S. Al-QuraishiAhmed EltayebNezar M. AlyazidiMahmoud S. AbouOmarTarek Sheltami,2025,https://link.springer.com/article/10.1007/s13369-025-10379-4,Article
Drones as a service (DaaS) for 5G networks and blockchain-assisted IoT-based smart city infrastructure,Cluster Computing,,,,10.1007/s10586-024-04354-1,Tanya GargShashank GuptaMohammad S. ObaidatMeghna Raj,2024,https://link.springer.com/article/10.1007/s10586-024-04354-1,Article
"Dynamic fitness-distance balance competitive swarm optimizer: performance investigation, engineering Simulation, and application in superconductor critical temperature prediction",Cluster Computing,,,,10.1007/s10586-025-05366-1,Yang CaoXingbang DuJun YuRui ZhongMasaharu Munetomo,2025,https://link.springer.com/article/10.1007/s10586-025-05366-1,Article
Energy-Aware UAV Data Collection in Robotic Wireless Sensor Networks Under Imperfect Battery Predictions,Telecommunication Systems,,,,10.1007/s11235-025-01383-y,Beyza DuranOmer Melih GulSeifedine Kadry,2025,https://link.springer.com/article/10.1007/s11235-025-01383-y,Article
Experimentation and Simulation with Autonomous Coverage Path Planning for UAVs,Journal of Intelligent & Robotic Systems,,,,10.1007/s10846-022-01654-9,Iago Z. BiundiniAurelio G. MeloFabrício O. CoelhoLeonardo M. HonórioAndré L. M. MarcatoMilena Faria Pinto,2022,https://link.springer.com/article/10.1007/s10846-022-01654-9,Article
Clusterized Multi-objective Approach With Variable and Adaptive Neighborhood Search for Multi-robot Task Allocation,"International Journal of Control, Automation and Systems",,,,10.1007/s12555-025-0379-9,Tatiana M. B. dos SantosMilena F. PintoGabrielle O. TimotheoIago Z. BiundiniCelso M. de L. JuniorLeonardo M. HonórioEsteban W. G. Clua,2025,https://link.springer.com/article/10.1007/s12555-025-0379-9,Article
Numerical Potential Fields Based Multi-stage Path Planning for UTM in Dense Non-segregated Airspace,Journal of Intelligent & Robotic Systems,,,,10.1007/s10846-023-01916-0,Sajid Ahamed M ASatya Prakash KShuvrangshu JanaDebasish Ghose,2023,https://link.springer.com/article/10.1007/s10846-023-01916-0,Article
Obstacle Avoidance Path Planning Using the Elite Ant Colony Algorithm for Parameter Optimization of Unmanned Aerial Vehicles,Arabian Journal for Science and Engineering,,,,10.1007/s13369-022-07204-7,Xiaoling MengXijing ZhuJing Zhao,2022,https://link.springer.com/article/10.1007/s13369-022-07204-7,Article
"Artificial intelligence in environmental research: bibliometric, text mining and content analysis",Discover Artificial Intelligence,,,,10.1007/s44163-025-00289-7,Chukwuebuka C. OkaforFestus A. OtunomoValentine E. NnadiChinelo A. NzekweAdaobi V. NwoyeCharles C. Ajaero,2025,https://link.springer.com/article/10.1007/s44163-025-00289-7,Article
The impact of machine learning applications in agricultural supply chain: a topic modeling-based review,Discover Food,,,,10.1007/s44187-025-00419-1,Abderahman RejebKarim RejebAbdo Hassoun,2025,https://link.springer.com/article/10.1007/s44187-025-00419-1,Article
Critical review on integrated real-time energy management strategy and digital twin applied to hybrid electric UAVs,Electrical Engineering,,,,10.1007/s00202-024-02746-5,Nkotto Akono CyrilleNdzana Jean CalvinMengata Mengounou GhislainSosso Mayi Olivier Thierry,2024,https://link.springer.com/article/10.1007/s00202-024-02746-5,Article
Multi-UAV Collaborative Detection Based on&#xa0;Reinforcement Learning,Advances in Swarm Intelligence,,,,10.1007/978-981-97-7181-3_37,Yuanhui HaoChubing GuoLiangjun Ke,2024,https://link.springer.com/chapter/10.1007/978-981-97-7181-3_37,Conference paper
PSO–PID Controller for Quadcopter UAV: Index Performance Comparison,Arabian Journal for Science and Engineering,,,,10.1007/s13369-023-08088-x,Nur Hayati SahrirMohd Ariffanan Mohd Basri,2023,https://link.springer.com/article/10.1007/s13369-023-08088-x,Article
Multi-mission UAV Trajectory Planning in Smart Agriculture with Polarization Learning Model-Driven by Harris Hawks Optimizer,Intelligent Networked Things,,,,10.1007/978-981-97-3948-6_18,Xinyu LiuYuxin MaPeng Shao,2024,https://link.springer.com/chapter/10.1007/978-981-97-3948-6_18,Conference paper
Improved Grey Wolf Optimization Algorithm Based on Logarithmic Inertia Weight,International Conference on Cloud Computing and Computer Networks,,,,10.1007/978-3-031-47100-1_8,Xueying LuoLanyue Pi,2024,https://link.springer.com/chapter/10.1007/978-3-031-47100-1_8,Conference paper
A compressive sensing-driven data collection scheme for UAV-assisted wireless sensor networks,Scientific Reports,,,,10.1038/s41598-025-34159-0,Zhe HanGuoqiang ZhengChuanfeng LiGuoqiang WangYu Mu,2025,https://link.springer.com/article/10.1038/s41598-025-34159-0,Article
"Artificial Intelligence and Its Impact on Quality Seeds of Cereals, Pulses, and Oilseed Crops",Advances in Seed Quality Evaluation and Improvement,,,,10.1007/978-981-96-5178-8_3,Sudipta MahatoRabinath MurmuRitwik SahooDinabandhu SamantaSumit SowShivani RanjanHarun Gitari,2025,https://link.springer.com/chapter/10.1007/978-981-96-5178-8_3,Chapter
Optimization of helicopter and UAV coordinated SAR time,Scientific Reports,,,,10.1038/s41598-025-14192-9,Ming ZhangYing HuoHanzhi ZhangJiale DuanFaqiang Wen,2025,https://link.springer.com/article/10.1038/s41598-025-14192-9,Article
Evaluation of unmanned combat aerial vehicles using q-rung orthopair fuzzy entropy based multi-attribute border approximation area comparison method,Operational Research,,,,10.1007/s12351-025-00952-y,Betül Turanoğlu Şirin,2025,https://link.springer.com/article/10.1007/s12351-025-00952-y,Article
Multi-Cloud Path Planning of Unmanned Aerial Vehicles with Multi-Criteria Decision Making: A Literature Review,Operationalizing Multi-Cloud Environments,,,,10.1007/978-3-030-74402-1_3,K. SanthiB. ValarmathiT. Chellatamilan,2022,https://link.springer.com/chapter/10.1007/978-3-030-74402-1_3,Chapter
Improved ant colony algorithm in path planning of a single robot and multi-robots with multi-objective,Evolutionary Intelligence,,,,10.1007/s12065-023-00821-7,Xingcheng PuXinlin SongLing TanYi Zhang,2023,https://link.springer.com/article/10.1007/s12065-023-00821-7,Article
Hopf Bifurcation for UAV Path Planning in Autonomous Surveillance and Landing on an UGV,Journal of Intelligent & Robotic Systems,,,,10.1007/s10846-021-01391-5,Efrain IbarraErik G. Rojo-RodriguezManuel A. Jimenez-LizarragaOctavio Garcia-SalazarIgnacio Quiroz-Vazquez,2021,https://link.springer.com/article/10.1007/s10846-021-01391-5,Article
HG-SMA: hierarchical guided slime mould algorithm for smooth path planning,Artificial Intelligence Review,,,,10.1007/s10462-023-10398-3,Gang HuBo DuGuo Wei,2023,https://link.springer.com/article/10.1007/s10462-023-10398-3,Article
Control Systems for Unmanned Aerial Vehicles: Advancement and Challenges,Recent Advances in Aerospace Engineering,,,,10.1007/978-981-97-1306-6_9,Nikhil YogiNiraj Kumar,2024,https://link.springer.com/chapter/10.1007/978-981-97-1306-6_9,Conference paper
Navigation and Trajectory Planning Techniques for Unmanned Aerial Vehicles Swarm,Artificial Intelligence for Robotics and Autonomous Systems Applications,,,,10.1007/978-3-031-28715-2_12,Nada Mohammed ElfatihElmustafa Sayed AliRashid A. Saeed,2023,https://link.springer.com/chapter/10.1007/978-3-031-28715-2_12,Chapter
Research on collaborative scheduling strategies of multi-agent agricultural machinery groups,Scientific Reports,,,,10.1038/s41598-025-93848-y,Ziyi WangFan ZhangShiji MaHailong WangShunyao ZhangXiaozhong Gao,2025,https://link.springer.com/article/10.1038/s41598-025-93848-y,Article
Unifying ground and air: a comprehensive review of deep learning-enabled CAVs and UAVs,Artificial Intelligence Review,,,,10.1007/s10462-025-11425-1,Muhammad Umer ZiaWei XiangTao HuangJameel AhmadJawwad Nasar ChatthaIjaz Haider NaqviFaran Awais Butt,2025,https://link.springer.com/article/10.1007/s10462-025-11425-1,Article
A Greedy and Variable Neighborhood Search Metaheuristic Approach for the Cumulative Unmanned Aerial Vehicle Routing Problem,Disruptive Technologies and Optimization Towards Industry 4.0 Logistics,,,,10.1007/978-3-031-58919-5_9,Nikolaos A. KyriakakisThemistoklis StamadianosMagdalene MarinakiYannis Marinakis,2024,https://link.springer.com/chapter/10.1007/978-3-031-58919-5_9,Chapter
Unmanned Aerial Vehicle-Assisted Clustered Wireless Sensor Network Data Collection Efficiency Improvement,Modern Artificial Intelligence and Data Science,,,,10.1007/978-3-031-33309-5_23,Mohamed AbidSaid El KafhaliAbdellah AmzilMohamed Hanini,2023,https://link.springer.com/chapter/10.1007/978-3-031-33309-5_23,Chapter
A Visual Path Planning Framework Based on&#xa0;Path Search Area,Proceedings of 2021 5th Chinese Conference on Swarm Intelligence and Cooperative Control,,,,10.1007/978-981-19-3998-3_6,Wei ZhangZike LeiXi Chen,2023,https://link.springer.com/chapter/10.1007/978-981-19-3998-3_6,Conference paper
"Unmanned aerial vehicles (UAVs): practical aspects, applications, open challenges, security issues, and future trends",Intelligent Service Robotics,,,,10.1007/s11370-022-00452-4,Syed Agha Hassnain MohsanNawaf Qasem Hamood OthmanYanlong LiMohammed H. AlsharifMuhammad Asghar Khan,2023,https://link.springer.com/article/10.1007/s11370-022-00452-4,Article
Empowering CO<sub>2</sub> emission prediction: an innovative approach based on jackaloptimization techniques,Neural Computing and Applications,,,,10.1007/s00521-025-11614-7,Sara A. Shehab,2025,https://link.springer.com/article/10.1007/s00521-025-11614-7,Article
A Cloud-Based Drones’ Model for Detection and Tracking of Stationary and Motion-Based Snakes in Farms in Marginalized Rural Areas: A Preliminary Study,Towards new e-Infrastructure and e-Services for Developing Countries,,,,10.1007/978-3-031-81573-7_4,Phumlani T. SimelaneOkuthe P. Kogeda,2025,https://link.springer.com/chapter/10.1007/978-3-031-81573-7_4,Conference paper
IECO: an improved educational competition optimizer for state-of-the-art engineering optimization,Journal of Big Data,,,,10.1186/s40537-025-01260-0,Xiaojie TangJunbo Jacob LianLing MaXincan WuRui ZhongYujun ZhangHuiling Chen,2025,https://link.springer.com/article/10.1186/s40537-025-01260-0,Article
Review of Protocol Stack Development of Flying Ad-hoc Networks for Disaster Monitoring Applications,Archives of Computational Methods in Engineering,,,,10.1007/s11831-022-09791-y,Ruchi DhallSarang Dhongdi,2022,https://link.springer.com/article/10.1007/s11831-022-09791-y,Article
UAV swarm formation reconfiguration control based on variable-stepsize MPC-APCMPIO algorithm,Science China Information Sciences,,,,10.1007/s11432-022-3735-5,Jian LiaoJun ChengBin XinDelin LuoLihui ZhengYuhang KangShaolei Zhou,2023,https://link.springer.com/article/10.1007/s11432-022-3735-5,Article
A Critical Review on Metaheuristic Algorithms based Multi-Criteria Decision-Making Approaches and Applications,Archives of Computational Methods in Engineering,,,,10.1007/s11831-024-10165-9,Rishabh RishabhKedar Nath Das,2024,https://link.springer.com/article/10.1007/s11831-024-10165-9,Article
Methodology for Assessing the Efficiency of Generated UAV Flight Route Plans for Optimal Selection,Smart Innovations in Energy and Mechanical Systems,,,,10.1007/978-3-031-95191-6_22,Alina ArtomovaIhor Artomov,2025,https://link.springer.com/chapter/10.1007/978-3-031-95191-6_22,Conference paper
On the Routing of Unmanned Aerial Vehicles (UAVs) in Precision Farming Sampling Missions,Information and Communication Technologies for Agriculture—Theme III: Decision,,,,10.1007/978-3-030-84152-2_5,Georgios DoliasLefteris BenosDionysis Bochtis,2022,https://link.springer.com/chapter/10.1007/978-3-030-84152-2_5,Chapter
Path Optimization for Minimizing Energy Consumption in Harvesting,Agricultural-Centric Computation,,,,10.1007/978-3-031-74440-2_26,Aditya SinglaDigvijay SinghKalpana Shankhwar,2025,https://link.springer.com/chapter/10.1007/978-3-031-74440-2_26,Conference paper
Meta-Heuristic Optimal Path Planning in Blockchain-Aided UAV Swarm Network,Futuristic Trends in Networks and Computing Technologies,,,,10.1007/978-981-19-5037-7_13,M. KayalvizhiS. Ramamoorthy,2022,https://link.springer.com/chapter/10.1007/978-981-19-5037-7_13,Conference paper
COCOMA: a resource-optimized cooperative UAVs communication protocol for surveillance and monitoring applications,Wireless Networks,,,,10.1007/s11276-022-03031-8,Youssra CherigueneFatima Zohra BousbaaChaker Abdelaziz KerracheSoumia DjellikhNasreddine LagraaMohamed LahbyAbderrahmane Lakas,2022,https://link.springer.com/article/10.1007/s11276-022-03031-8,Article
Green design and manufacturing processes based on additive manufacturing: A review,MRS Communications,,,,10.1557/s43579-025-00789-8,Lingxiao LuYanshuai YangKun ShengXiaotong DuYuxi SongZhentao Mi,2025,https://link.springer.com/article/10.1557/s43579-025-00789-8,Article
Artificial Intelligence Algorithms and Models for Embodied Agents: Enhancing Autonomy in Drones and Robots,"Building Embodied AI Systems: The Agents, the Architecture Principles, Challenges, and Application Domains",,,,10.1007/978-3-031-68256-8_5,Gnanasankaran NatarajanElakkiya ElangoB. SundaravadivazhaganSandha Rethinam,2024,https://link.springer.com/chapter/10.1007/978-3-031-68256-8_5,Chapter
Trajectory tracking control of a crawler maneuvering structure via backstepping–PSO parameter optimization,Journal of Mechanical Science and Technology,,,,10.1007/s12206-025-1136-y,Chen ZhangHong ZhangLichen TianJucai LiHonghong Yan,2025,https://link.springer.com/article/10.1007/s12206-025-1136-y,Article
An Overview of Flying Ad-Hoc Networks,IoT-Enabled Energy Efficiency Assessment of Renewable Energy Systems and Micro-grids in Smart Cities,,,,10.1007/978-3-031-60629-8_29,Belghachi Mohammed,2024,https://link.springer.com/chapter/10.1007/978-3-031-60629-8_29,Conference paper
Machine Learning for Unmanned Aerial Vehicles Navigation: An Overview,SN Computer Science,,,,10.1007/s42979-023-02592-5,Leonardo A. Fagundes-JuniorKevin B. de CarvalhoRicardo S. FerreiraAlexandre S. Brandão,2024,https://link.springer.com/article/10.1007/s42979-023-02592-5,Article
An efficient data transmission scheme for WSNs assisted by multiple UAVs,Wireless Networks,,,,10.1007/s11276-024-03874-3,Hao LiuRenwen ChenShanshan DingFei LiuZihao JiangGuoqiang LuJunyi Zhang,2024,https://link.springer.com/article/10.1007/s11276-024-03874-3,Article
Improved multi-strategy adaptive Grey Wolf Optimization for practical engineering applications and high-dimensional problem solving,Artificial Intelligence Review,,,,10.1007/s10462-024-10821-3,Mingyang YuJing XuWeiyun LiangYu QiuSixu BaoLin Tang,2024,https://link.springer.com/article/10.1007/s10462-024-10821-3,Article
Trajectory optimization for UAV-assisted relay over 5G networks based on reinforcement learning framework,EURASIP Journal on Wireless Communications and Networking,,,,10.1186/s13638-023-02268-x,Sara M. M. AbohashishRawya Y. RizkE. I. Elsedimy,2023,https://link.springer.com/article/10.1186/s13638-023-02268-x,Article
Advances in Sand Cat Swarm Optimization: A Comprehensive Study,Archives of Computational Methods in Engineering,,,,10.1007/s11831-024-10217-0,Ferzat AnkaNazim Aghayev,2025,https://link.springer.com/article/10.1007/s11831-024-10217-0,Article
Enhancing aerial robots performance through robust hybrid control and metaheuristic optimization of controller parameters,Neural Computing and Applications,,,,10.1007/s00521-023-09014-w,Yunes Sh. AlqudsiRadhwan A. A. SalehMurat MakaraciH. Metin Ertunç,2023,https://link.springer.com/article/10.1007/s00521-023-09014-w,Article
"A Review of Field Plant Phenotyping Platform, Sensing and Navigation Technology",Transforming Technologies in Smart Agriculture,,,,10.1007/978-981-97-4141-0_1,Z. RuiZ. ZhangT. Chen,2024,https://link.springer.com/chapter/10.1007/978-981-97-4141-0_1,Chapter
Multirole UAVs Supported Parking Surveillance System,Mobile Networks and Applications,,,,10.1007/s11036-022-02045-y,Goran JausevacDalibor DobrilovicVladimir BrtkaGordana JotanovicDragan PerakovicZeljko Stojanov,2022,https://link.springer.com/article/10.1007/s11036-022-02045-y,Article
YOLO advances to its genesis: a decadal and comprehensive review of the You Only Look Once (YOLO) series,Artificial Intelligence Review,,,,10.1007/s10462-025-11253-3,Ranjan SapkotaMarco Flores-CaleroRizwan QureshiChetan BadgujarUpesh NepalAlwin PoulosePeter ZenoUday Bhanu Prakash VaddevoluSheheryar KhanMaged ShomanHong YanManoj Karkee,2025,https://link.springer.com/article/10.1007/s10462-025-11253-3,Article
A Comprehensive Review of Cutting-Edge Disaster Response: UAVs Equipped with FSO-Based Communications,Wireless Personal Communications,,,,10.1007/s11277-025-11782-8,Zaid Jabbar Al-AllaqWafaa M. R. ShakirJinan Charafeddine,2025,https://link.springer.com/article/10.1007/s11277-025-11782-8,Article
An Improved Trajectory Planning Method for Unmanned Aerial Vehicles in Complex Environments,Bio-Inspired Computing: Theories and Applications,,,,10.1007/978-981-97-2275-4_12,Chen ZhangModuo YuWentao HuangYi HuYang ChenQinqin Fan,2024,https://link.springer.com/chapter/10.1007/978-981-97-2275-4_12,Conference paper
"Applications, classifications, and challenges: a comprehensive evaluation of recently developed metaheuristics for search and analysis",Artificial Intelligence Review,,,,10.1007/s10462-025-11377-6,Muhammad Suhail ShaikhSaurav RajGengzhong ZhengSenlin XieChang WangXiaoqing DongYifan LinChunwu WangNaveed Ur Rehman Junejo,2025,https://link.springer.com/article/10.1007/s10462-025-11377-6,Article
A Survey of Robotic Harvesting Systems and Enabling Technologies,Journal of Intelligent & Robotic Systems,,,,10.1007/s10846-022-01793-z,Leonidas DroukasZoe DoulgeriNikolaos L. TsakiridisDimitra TriantafyllouIoannis KleitsiotisIoannis MariolisDimitrios GiakoumisDimitrios TzovarasDimitrios KaterisDionysis Bochtis,2023,https://link.springer.com/article/10.1007/s10846-022-01793-z,Article
An enhanced multi-strategy exponential distribution optimizer and its application in wireless sensor network coverage optimization,Cluster Computing,,,,10.1007/s10586-025-05811-1,ZhiPeng QiuZengtong LuYingxue Wen,2025,https://link.springer.com/article/10.1007/s10586-025-05811-1,Article
